smiles,FDA_APPROVED,CT_TOX,PubchemCID,pos
C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC,1,0,0,
[C@@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl,1,0,727,8.333333333369422e-06 -8.333333333424934e-06 -2.3129646346357427e-18
[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O,1,0,5288393,7.1428571428087754e-06 -4.7580986769649563e-17 -7.14285714285933e-06
[H]/[NH+]=C(/C1=CC(=O)/C(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N,1,0,0,
[H]/[NH+]=C(\N)/c1ccc(cc1)OCCCCCOc2ccc(cc2)/C(=[NH+]/[H])/N,1,0,0,
[N+](=O)([O-])[O-],1,0,943,0.0 0.0 2.5000000000000005e-05
[N]=O,1,0,945,0.0 0.0 0.0
[NH4][Pt]([NH4])(Cl)Cl,1,0,441203,
[O-][99Tc](=O)(=O)=O,1,0,9570376,
[O-]P(=O)([O-])F,1,0,65241,0.0 1.9999999999997796e-05 -2.2204460492503132e-17
[O-]S(=O)(=O)[O-],1,0,1117,4.4408920985006264e-17 0.0 -8.326672684688674e-18
[O-]S(=O)(=S)[O-],1,0,1084,1.9999999999997796e-05 -1.9999999999997796e-05 -2.2204460492503132e-17
[Se],0,1,6326970,
B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,1,0,387447,
B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,0,1,387447,
B([C@H](CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,0,1,25183872,
C#CC1(CCCCC1)OC(=O)N,1,0,0,
C#CC[NH2+][C@@H]1CCc2c1cccc2,1,0,0,
C#CCC(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],1,0,0,
C#N,1,0,0,
C(#N)[Fe-2](C#N)(C#N)(C#N)(C#N)N=O,1,0,0,
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O,1,0,54679076,8.333333333313911e-06 8.33333333335092e-06 -8.0953762212251e-18
C([C@@H](C(=O)[O-])[NH3+])S,1,0,6419722,1.4285714285744433e-05 -3.172065784643304e-17 -1.6851599480917553e-17
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,1,0,11333,-4.3478260868112315e-06 8.695652173931395e-06 -4.347826086942768e-06
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)COS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O,1,0,70789197,
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)F)O)O)O,1,0,445226,3.700743415417188e-17 1.3877787807814457e-17 -8.333333333323164e-06
C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,1,0,5988,4.347826087062238e-06 -8.695652173886744e-06 4.347826086936735e-06
C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,1,0,7027,-8.333333333313911e-06 8.333333333313911e-06 5.782411586589357e-18
C([C@H]([C@@H]([C@H](C=O)O)O)O)O,1,0,644160,0.0 -1.0000000000021104e-05 -3.3306690738754695e-17
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,1,0,6251,3.700743415417188e-17 1.6666666666655578e-05 -6.3606527452482924e-18
C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O,1,0,6419706,-7.692307692323926e-06 1.538461538455391e-05 7.692307692311116e-06
C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,1,0,5780,-1.666666666666483e-05 8.333333333360171e-06 -8.333333333313911e-06
C(=[NH2+])(N)N,1,0,32838,-2.5000000000007655e-05 -5.275660008678684e-17 2.5e-05
C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1,0,9873,-3.846153846127802e-06 1.6079552219631175e-17 -7.69230769232179e-06
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,1,0,9639,4.999999999988347e-06 -4.999999999993898e-06 -9.999999999973919e-06
C(C(C(=O)[O-])O)(C(=O)[O-])O,1,0,3806114,-1.0000000000021104e-05 -2.2204460492503132e-17 0.0
C(C(C(=O)[O-])S)(C(=O)[O-])S,1,0,21987748,4.4408920985006264e-17 -1.0000000000018327e-05 -9.99999999998294e-06
C(C(Cl)(Cl)Cl)OP(=O)([O-])[O-],1,0,22764074,6.661338147750939e-17 -1.0000000000028815e-05 1.000000000004062e-05
C(C(CO)(CO)[NH3+])O,1,0,3777159,-1.2499999999963929e-05 1.2499999999984746e-05 -1.2500000000026379e-05
C(C(CO)O)O,1,0,753,-3.700743415417188e-17 0.0 0.0
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1,0,4510,0.0 2.2204460492503132e-17 6.666666666688137e-06
C(C(CS)S)O,1,0,3080,-1.666666666666483e-05 0.0 0.0
C(C(F)(F)F)(C(F)(F)F)(F)F,1,0,6432,9.090909090928276e-06 -9.090909090903043e-06 -9.090909090902413e-06
C(C(F)(F)F)(Cl)Br,1,0,3562,-4.7580986769649563e-17 2.1807952269422717e-17 1.586032892321652e-17
C(C(F)(F)F)(OC(F)F)Cl,1,0,3763,-8.881784197001253e-17 -9.999999999998898e-06 -1.3877787807814458e-18
C(C(F)(F)F)(OC(F)F)F,1,0,42113,0.0 8.326672684688674e-18 -1.1102230246251566e-17
C(=C(F)F)(F)F,1,0,8301,-1.666666666666483e-05 1.666666666666483e-05 -1.6666666666666667e-05
C(C(=O)[O-])[NH3+],1,0,5257127,-4.4408920985006264e-17 -4.163336342344337e-18 4.163336342344337e-18
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,1,0,31348,-7.692307692289765e-06 -7.692307692332466e-06 -6.4051328343759035e-18
C(C(OC(F)F)(F)F)(F)Cl,1,0,3226,6.661338147750939e-17 -2.7755575615628915e-18 8.326672684688674e-18
C(=C/C(=O)[O-])\C(=O)[O-],1,0,0,
C(C[C@@H](C(=O)[O-])[NH3+])C[NH+]=C(N)N,1,0,1549073,8.33333333335092e-06 -8.333333333323164e-06 8.333333333348606e-06
C(C[NH2+]CCNCC[NH2+]CCN)N,1,0,0,
