Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,Description
Amigdalin,-0.974,1,457.4320000000001,7,3,7,202.31999999999996,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,"cid is 90590,compound_name is Fenfuram,cid_paras is 90590,Molecular_Weight is 201.22,XLogP3 is 2.2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 2,Exact_Mass is 201.078978594,Monoisotopic_Mass is 201.078978594,Topological_Polar_Surface_Area is 42.2,""Unit"":""Å²"",Heavy_Atom_Count is 15,Formal_Charge is 0,Complexity is 224,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Fenfuram,-2.885,1,201.225,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc2ccccc2,"cid is 8843,compound_name is 3,7-Dimethyl-2,6-octadienal,cid_paras is 8843,Molecular_Weight is 152.23,XLogP3 is 3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 4,Exact_Mass is 152.120115130,Monoisotopic_Mass is 152.120115130,Topological_Polar_Surface_Area is 17.1,""Unit"":""Å²"",Heavy_Atom_Count is 11,Formal_Charge is 0,Complexity is 171,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 1,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid"
citral,-2.5789999999999997,1,152.237,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC(=O),"cid is 9162,compound_name is Picene,cid_paras is 9162,Molecular_Weight is 278.3,XLogP3 is 7,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 278.109550447,Monoisotopic_Mass is 278.109550447,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 22,Formal_Charge is 0,Complexity is 361,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Fluorescentsolid;[MerckIndex]Tancrystallinesolid;[AccuStandardMSDS]"
Picene,-6.617999999999999,2,278.354,0,5,0,0.0,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,"cid is 8030,compound_name is Thiophene,cid_paras is 8030,Molecular_Weight is 84.14,XLogP3 is 1.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 84.00337130,Monoisotopic_Mass is 84.00337130,Topological_Polar_Surface_Area is 28.2,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 22.8,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Thiopheneappearsasacolorlessliquidwithanunpleasantodor.Insolubleinwaterandslightlydenserthanwater.Flashpoint30°F.Vaporsheavierthanair.Irritatestheskin,eyes,andmucousmembranes.Usedtomakepharmaceuticalsanddyes."",""Markup"":[{""Start"":0,""Length"":9,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Thiophene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8030"",Color/Form is COLORLESSLIQUID,Odor is SLIGHTAROMATICODORRESEMBLINGBENZENE"",""Markup"":[{""Start"":32,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/BENZENE"",""Type"":""PubChemInternalLink"",""Extra"":""CID-241,Boiling_Point is 183.9°Fat760mmHg(NTP,1992),Melting_Point is -36.8°F(NTP,1992),Flash_Point is 30°F(NTP,1992),Density is 1.0649at68°F(NTP,1992)-Denserthanwater;willsink"",""Markup"":[{""Start"":42,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Thiophene,-2.232,2,84.14299999999999,0,1,0,0.0,-1.33,c1ccsc1,"cid is 7222,compound_name is Benzothiazole,cid_paras is 7222,Molecular_Weight is 135.19,XLogP3 is 2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 135.01427034,Monoisotopic_Mass is 135.01427034,Topological_Polar_Surface_Area is 41.1,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 105,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid,Color/Form is Yellowliquid,Odor is ODORSIMILARTOTHATOFQUINOLINE"",""Markup"":[{""Start"":24,""Length"":9,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/QUINOLINE"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7047,Boiling_Point is 227-228°CAT765MMHG,Melting_Point is 2°C,Density is 1.246AT20°C/4°C"
benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5,c2ccc1scnc1c2 ,"cid is 91662,compound_name is 2,2',4,6,6'-Pentachlorobiphenyl,cid_paras is 91662,Molecular_Weight is 326.4,XLogP3 is 5.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 1,Exact_Mass is 325.880439,Monoisotopic_Mass is 323.883389,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 17,Formal_Charge is 0,Complexity is 237,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0.0,-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,"cid is 450,compound_name is 13-Methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol,cid_paras is 450,Molecular_Weight is 272.4,XLogP3 is 4,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 272.177630004,Monoisotopic_Mass is 272.177630004,Topological_Polar_Surface_Area is 40.5,""Unit"":""Å²"",Heavy_Atom_Count is 20,Formal_Charge is 0,Complexity is 382,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 5,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,"cid is 3048,compound_name is Endrin,cid_paras is 3048,Molecular_Weight is 380.9,XLogP3 is 3.7,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 379.867681,Monoisotopic_Mass is 377.870631,Topological_Polar_Surface_Area is 12.5,""Unit"":""Å²"",Heavy_Atom_Count is 19,Formal_Charge is 0,Complexity is 516,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 8,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Endrinisawhitecrystalline,odorlesssoliddissolvedinaliquidcarrier.Itiswateremulsifiable.Itistoxicbyinhalation,skinabsorption,and/oringestion.Whenheatedorburneditmayemittoxichydrogenchlorideandphosgene.Itisusedasapesticide."",""Markup"":[{""Start"":0,""Length"":6,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Endrin"",""Type"":""PubChemInternalLink"",""Extra"":""CID-3048"",Color/Form is WHITE,CRYSTALLINESOLID,Odor is Odorless,Boiling_Point is Decomposes(NTP,1992),Melting_Point is Decomposesat473°F.(EPA,1998),Flash_Point is Commercialproductmaycontainflammableliquidwithflashpoint80F.(EPA,1998),Density is 1.7at68°F(EPA,1998)-Denserthanwater;willsink"",""Markup"":[{""Start"":39,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,"cid is 5102,compound_name is 5'beta-Rotenone,cid_paras is 5102,Molecular_Weight is 394.4,XLogP3 is 4.1,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 6,Rotatable_Bond_Count is 3,Exact_Mass is 394.14163842,Monoisotopic_Mass is 394.14163842,Topological_Polar_Surface_Area is 63.2,""Unit"":""Å²"",Heavy_Atom_Count is 29,Formal_Charge is 0,Complexity is 664,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 3,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
Rotenone,-5.246,1,394.42300000000023,0,5,3,63.22,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,"cid is 12025,compound_name is 2-Pyrrolidinone,cid_paras is 12025,Molecular_Weight is 85.10,XLogP3 is -0.8,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 85.052763847,Monoisotopic_Mass is 85.052763847,Topological_Polar_Surface_Area is 29.1,""Unit"":""Å²"",Heavy_Atom_Count is 6,Formal_Charge is 0,Complexity is 69.9,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Liquid,Color/Form is CRYSTALSFROMCOLDPETROLEUMETHER,Boiling_Point is 245°C@760mmHg;113-114@9.2mmHg;76°C@0.2mmHg,Melting_Point is 25.0°C,Flash_Point is 265°F(129°C)(opencup),Density is 1.116@25°C"
2-pyrrolidone,0.243,1,85.10600000000001,1,1,0,29.1,1.07,O=C1CCCN1,"cid is 7056,compound_name is 2-Chloronaphthalene,cid_paras is 7056,Molecular_Weight is 162.61,XLogP3 is 4.1,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 162.0236279,Monoisotopic_Mass is 162.0236279,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 11,Formal_Charge is 0,Complexity is 133,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Monoclinicplatesoroff-whitecrystallinepowder.Meltingpoint59.5°C.,Color/Form is Monoclinicplates,leafletsfromdilalcohol,Boiling_Point is 493°Fat760mmHg(NTP,1992),Melting_Point is 139.1°F(NTP,1992),Flash_Point is 125°C,Density is 1.1377at160°F(NTP,1992)-Denserthanwater;willsink"",""Markup"":[{""Start"":43,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
2-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-4.14,Clc1ccc2ccccc2c1,"cid is 8004,compound_name is 1-Pentene,cid_paras is 8004,Molecular_Weight is 70.13,XLogP3 is 2.4,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 2,Exact_Mass is 70.078250319,Monoisotopic_Mass is 70.078250319,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 21.2,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 1-penteneisacolorlessliquidwithanodorofgasoline.Flashpoint-20°F(Aldrich).Insolubleinwaterandlessdensethanwater.Hencefloatsonwater.Flammablevaporisproduced.Boilingpoint86°F.(USCG,1999)"",""Markup"":[{""Start"":0,""Length"":9,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/1-pentene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8004"",Color/Form is Liquid,Odor is HIGHLYDISAGREEABLE,Boiling_Point is 85.8°Fat760mmHg(USCG,1999),Melting_Point is -265°F(USCG,1999),Flash_Point is -60°F(USCG,1999),Density is 0.641at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68,CCCC=C,"cid is 4909,compound_name is Primidone,cid_paras is 4909,Molecular_Weight is 218.25,XLogP3 is 0.9,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 2,Exact_Mass is 218.105527694,Monoisotopic_Mass is 218.105527694,Topological_Polar_Surface_Area is 58.2,""Unit"":""Å²"",Heavy_Atom_Count is 16,Formal_Charge is 0,Complexity is 279,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Primacloneisanodorlesswhitecrystallinepowder.Slightlybittertaste.Noacidicproperties.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":10,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Primaclone"",""Type"":""PubChemInternalLink"",""Extra"":""CID-4909,Color/Form is Crystals,Odor is Odorless,Melting_Point is 538to540°F(NTP,1992)"
Primidone,-1.897,1,218.256,2,2,2,58.2,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2,"cid is 12389,compound_name is Tetradecane,cid_paras is 12389,Molecular_Weight is 198.39,XLogP3 is 7.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 11,Exact_Mass is 198.234750957,Monoisotopic_Mass is 198.234750957,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 14,Formal_Charge is 0,Complexity is 74,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is N-tetradecaneisacolorlessliquid.Mustbepreheatedbeforeignitioncanoccur.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":13,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/N-tetradecane"",""Type"":""PubChemInternalLink"",""Extra"":""CID-12389,Color/Form is Colorlessliquid,Boiling_Point is 488.7°Fat760mmHg(NTP,1992),Melting_Point is 42.6°F(NTP,1992),Flash_Point is 212°F(NTP,1992),Density is 0.7628at68°F(NTP,1992)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
