iupac,smiles,expt,calc,Description
"4-methoxy-N,N-dimethyl-benzamide",CN(C)C(=O)c1ccc(cc1)OC,-11.01,-9.625,"cid is 81713,compound_name is 4-Methoxy-N,N-dimethylbenzamide,cid_paras is 81713,Molecular_Weight is 179.22,XLogP3 is 1,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 2,Exact_Mass is 179.094628657,Monoisotopic_Mass is 179.094628657,Topological_Polar_Surface_Area is 29.5,""Unit"":""Å²"",Heavy_Atom_Count is 13,Formal_Charge is 0,Complexity is 172,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
methanesulfonyl chloride,CS(=O)(=O)Cl,-4.87,-6.219,"cid is 31297,compound_name is Methanesulfonyl chloride,cid_paras is 31297,Molecular_Weight is 114.55,XLogP3 is 0.4,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 113.9542282,Monoisotopic_Mass is 113.9542282,Topological_Polar_Surface_Area is 42.5,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 95.3,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Methanesulfonylchlorideappearsasapaleyellowcorrosiveliquid.Moredensethanwaterandinsolubleinwater.Verytoxicbyingestion,inhalation,orskinabsorption."",""Markup"":[{""Start"":0,""Length"":24,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Methanesulfonyl%20chloride"",""Type"":""PubChemInternalLink"",""Extra"":""CID-31297"",Color/Form is Paleyellowliquid,Odor is Unpleasantodor,Boiling_Point is 62°Cat18mmHg;161°Cat730mmHg,Melting_Point is Freezingpoint:-32°C,Flash_Point is >110°C,Solubility is Solubleinmostorganicsolvents,Density is 1.4805at18°C/4°C"
3-methylbut-1-ene,CC(C)C=C,1.83,2.452,"cid is 11239,compound_name is 3-Methyl-1-butene,cid_paras is 11239,Molecular_Weight is 70.13,XLogP3 is 2.2,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 1,Exact_Mass is 70.078250319,Monoisotopic_Mass is 70.078250319,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 27,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 3-methyl-1-buteneappearsasacolorlessvolatileliquidwithadisagreeableodor.Insolubleinwaterandlessdensethanwater.Vaporsheavierthanair.Usedtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":17,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/3-methyl-1-butene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-11239"",Color/Form is ...gas,Odor is Disagreeableodor,Boiling_Point is 20.1°C,Melting_Point is -168.5°C,Flash_Point is lessthan20°F(NFPA,2010),Solubility is Solubleinbenzene;miscibleinethanolandethylether"",""Markup"":[{""Start"":11,""Length"":7,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/benzene"",""Type"":""PubChemInternalLink"",""Extra"":""CID-241"",Density is 0.6213@25°C/4°C"
2-ethylpyrazine,CCc1cnccn1,-5.45,-5.809,"cid is 26331,compound_name is 2-Ethylpyrazine,cid_paras is 26331,Molecular_Weight is 108.14,XLogP3 is 0.7,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 1,Exact_Mass is 108.068748264,Monoisotopic_Mass is 108.068748264,Topological_Polar_Surface_Area is 25.8,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 63.5,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Colorlessliquid;[AlfaAesarMSDS],Boiling_Point is 152.00to153.00°C.@760.00mmHg,Solubility is solubleinwater,organicsolvents,oils"",""Markup"":[{""Start"":11,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962,Density is 0.981-1.000"
heptan-1-ol,CCCCCCCO,-4.21,-2.917,"cid is 8129,compound_name is 1-Heptanol,cid_paras is 8129,Molecular_Weight is 116.20,XLogP3 is 2.7,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 5,Exact_Mass is 116.120115130,Monoisotopic_Mass is 116.120115130,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 35.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Waterycolorlessliquidwithaweakalcoholodor.Floatsonwater.(USCG,1999)"",""Markup"":[{""Start"":60,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962,Color/Form is Colorlessliquid,Odor is Fragrant,Boiling_Point is 349°Fat760mmHg(USCG,1999),Melting_Point is -29°F(USCG,1999),Flash_Point is 170°F(USCG,1999),Solubility is Misciblewithalcohol,ether,Density is 0.822at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
"3,5-dimethylphenol",Cc1cc(cc(c1)O)C,-6.27,-5.444,"cid is 7948,compound_name is 3,5-Dimethylphenol,cid_paras is 7948,Molecular_Weight is 122.16,XLogP3 is 2.4,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 122.073164938,Monoisotopic_Mass is 122.073164938,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 9,Formal_Charge is 0,Complexity is 80.6,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 3,5-dimethylphenolisacolorlesstooff-whitecrystallinesolid.Odorthreshold1ppm.Tastethreshold0.001mg/L.(NTP,1992)"",""Markup"":[{""Start"":0,""Length"":18,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/3%2C5-dimethylphenol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7948,Color/Form is Needlesfromwater,Boiling_Point is 427.1°Fat760mmHg(NTP,1992),Melting_Point is 147°F(NTP,1992),Flash_Point is [HSDB]80°C,Solubility is lessthan1mg/mLat68°F(NTP,1992),Density is 0.968at68°F(NTP,1992)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":45,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
"2,3-dimethylbutane",CC(C)C(C)C,2.34,2.468,"cid is 6589,compound_name is 2,3-Dimethylbutane,cid_paras is 6589,Molecular_Weight is 86.18,XLogP3 is 3.4,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 1,Exact_Mass is 86.109550447,Monoisotopic_Mass is 86.109550447,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 6,Formal_Charge is 0,Complexity is 21,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 2,3-dimethylbutaneappearsasaclearcolorlessliquidwithapetroleum-likeodor.Flashpoint-20°F.Lessdensethanwaterandinsolubleinwater.Vaporsheavierthanair."",""Markup"":[{""Start"":0,""Length"":18,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/2%2C3-dimethylbutane"",""Type"":""PubChemInternalLink"",""Extra"":""CID-6589"",Color/Form is COLORLESSLIQUID,Boiling_Point is 136.4°Fat760mmHg(NTP,1992),Melting_Point is -199.3°F(NTP,1992),Flash_Point is -20°F(NTP,1992),Solubility is lessthan1mg/mLat74.3°F(NTP,1992),Density is 0.6616at68°F(NTP,1992)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
2-methylpentan-2-ol,CCCC(C)(C)O,-3.92,-2.779,"cid is 11543,compound_name is 2-Methylpentan-2-ol,cid_paras is 11543,Molecular_Weight is 102.17,XLogP3 is 1.4,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 2,Exact_Mass is 102.104465066,Monoisotopic_Mass is 102.104465066,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 7,Formal_Charge is 0,Complexity is 48.1,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is 2-methylpentan-2-olappearsasacolorlessliquid.Lessdensethanwater.Vaporsheavierthanair.Usedtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":19,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/2-methylpentan-2-ol"",""Type"":""PubChemInternalLink"",""Extra"":""CID-11543"""
"1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@@H]1C,1.58,1.685,"cid is 16628,compound_name is cis-1,2-Dimethylcyclohexane,cid_paras is 16628,Molecular_Weight is 112.21,XLogP3 is 3.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 0,Rotatable_Bond_Count is 0,Exact_Mass is 112.125200510,Monoisotopic_Mass is 112.125200510,Topological_Polar_Surface_Area is 0,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 56.4,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 2,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
butan-2-ol,CC[C@H](C)O,-4.62,-3.145,"cid is 444683,compound_name is (S)-(+)-2-butanol,cid_paras is 444683,Molecular_Weight is 74.12,XLogP3 is 0.6,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 1,Exact_Mass is 74.073164938,Monoisotopic_Mass is 74.073164938,Topological_Polar_Surface_Area is 20.2,""Unit"":""Å²"",Heavy_Atom_Count is 5,Formal_Charge is 0,Complexity is 19.6,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 1,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
