CMPD_CHEMBLID,exp,smiles,Description
CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,"cid is 798232,compound_name is 2-[[4-(4-Chlorophenyl)piperazin-1-yl]methyl]-1-methylbenzimidazole,cid_paras is 798232,Molecular_Weight is 340.8,XLogP3 is 3.5,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 3,Rotatable_Bond_Count is 3,Exact_Mass is 340.1454744,Monoisotopic_Mass is 340.1454744,Topological_Polar_Surface_Area is 24.3,""Unit"":""Å²"",Heavy_Atom_Count is 24,Formal_Charge is 0,Complexity is 404,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL1951080,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,"cid is 57390700,compound_name is 2-[2-[2,4-dimethoxy-5-[(2-methyl-3,4-dihydro-2H-quinolin-1-yl)sulfonyl]anilino]-2-oxoethyl]sulfanylacetic acid,cid_paras is 57390700,Molecular_Weight is 494.6,XLogP3 is 2.8,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 9,Rotatable_Bond_Count is 9,Exact_Mass is 494.11814352,Monoisotopic_Mass is 494.11814352,Topological_Polar_Surface_Area is 156,""Unit"":""Å²"",Heavy_Atom_Count is 33,Formal_Charge is 0,Complexity is 788,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,"cid is 60606,compound_name is Clopidogrel,cid_paras is 60606,Molecular_Weight is 321.8,XLogP3 is 3.8,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 4,Exact_Mass is 321.0590276,Monoisotopic_Mass is 321.0590276,Topological_Polar_Surface_Area is 57.8,""Unit"":""Å²"",Heavy_Atom_Count is 21,Formal_Charge is 0,Complexity is 381,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 1,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Solid,Color/Form is Colorlessoil,Melting_Point is 158,""Unit"":""°C"",Solubility is 15.1[ug/mL](ThemeanoftheresultsatpH7.4)"
CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,"cid is 10477191,compound_name is 2-chloro-N-[1-[(2R)-2,3-dihydroxypropyl]-2-oxo-3,4-dihydroquinolin-3-yl]-6H-thieno[2,3-b]pyrrole-5-carboxamide,cid_paras is 10477191,Molecular_Weight is 419.9,XLogP3 is 2.5,Hydrogen_Bond_Donor_Count is 4,Hydrogen_Bond_Acceptor_Count is 5,Rotatable_Bond_Count is 5,Exact_Mass is 419.0706549,Monoisotopic_Mass is 419.0706549,Topological_Polar_Surface_Area is 134,""Unit"":""Å²"",Heavy_Atom_Count is 28,Formal_Charge is 0,Complexity is 612,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 1,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,"cid is 57401936,compound_name is 4-[2,4-Dimethoxy-5-[(2-piperidin-1-ylphenyl)methylsulfamoyl]anilino]-4-oxobutanoic acid,cid_paras is 57401936,Molecular_Weight is 505.6,XLogP3 is 1.9,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 9,Rotatable_Bond_Count is 11,Exact_Mass is 505.18827151,Monoisotopic_Mass is 505.18827151,Topological_Polar_Surface_Area is 143,""Unit"":""Å²"",Heavy_Atom_Count is 35,Formal_Charge is 0,Complexity is 797,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL317462,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,"cid is 57401936,compound_name is 4-[2,4-Dimethoxy-5-[(2-piperidin-1-ylphenyl)methylsulfamoyl]anilino]-4-oxobutanoic acid,cid_paras is 57401936,Molecular_Weight is 505.6,XLogP3 is 1.9,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 9,Rotatable_Bond_Count is 11,Exact_Mass is 505.18827151,Monoisotopic_Mass is 505.18827151,Topological_Polar_Surface_Area is 143,""Unit"":""Å²"",Heavy_Atom_Count is 35,Formal_Charge is 0,Complexity is 797,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL1951182,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,"cid is 136420,compound_name is 4',5,7-Trimethoxyisoflavone,cid_paras is 136420,Molecular_Weight is 312.3,XLogP3 is 3.1,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 5,Rotatable_Bond_Count is 4,Exact_Mass is 312.09977361,Monoisotopic_Mass is 312.09977361,Topological_Polar_Surface_Area is 54,""Unit"":""Å²"",Heavy_Atom_Count is 23,Formal_Charge is 0,Complexity is 452,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL2030960,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,"cid is 656321,compound_name is 5-Thiophen-3-yl-3H-thieno[2,3-d]pyrimidin-4-one,cid_paras is 656321,Molecular_Weight is 234.3,XLogP3 is 2,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 1,Exact_Mass is 233.99215517,Monoisotopic_Mass is 233.99215517,Topological_Polar_Surface_Area is 97.9,""Unit"":""Å²"",Heavy_Atom_Count is 15,Formal_Charge is 0,Complexity is 308,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,"cid is 7768,compound_name is Caprolactam,cid_paras is 7768,Molecular_Weight is 113.16,XLogP3 is -0.1,Hydrogen_Bond_Donor_Count is 1,Hydrogen_Bond_Acceptor_Count is 1,Rotatable_Bond_Count is 0,Exact_Mass is 113.084063974,Monoisotopic_Mass is 113.084063974,Topological_Polar_Surface_Area is 29.1,""Unit"":""Å²"",Heavy_Atom_Count is 8,Formal_Charge is 0,Complexity is 90.5,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Caprolactamisacleartomilkywhite-coloredsolutionwithamild,disagreeableodor.Contactmaycauseslightirritationtoskin,eyes,andmucousmembranes.Maybemildlytoxicbyingestion.Theprimaryhazardisthethreattotheenvironment.Immediatestepsshouldbetakentolimititsspreadtotheenvironment.Asaliquiditcaneasilypenetratethesoilandcontaminategroundwaterandnearbystreams.Usedtomakeotherchemicals."",""Markup"":[{""Start"":0,""Length"":11,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Caprolactam"",""Type"":""PubChemInternalLink"",""Extra"":""CID-7768,Color/Form is Hygroscopicleafletsfrompetroleumether,Odor is ...Unpleasantodor...,Boiling_Point is 512.4°Fat760mmHg(NTP,1992),Melting_Point is 156°F(NTP,1992),Flash_Point is 257°F(NTP,1992),Solubility is greaterthanorequalto100mg/mLat68.9°F(NTP,1992),Density is 1.02at170.6°F(USCG,1999)-Denserthanwater;willsink"",""Markup"":[{""Start"":44,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
CHEMBL1527751,2.25,Oc1ncnc2scc(c3ccsc3)c12,"cid is 60165658,compound_name is (2-Propylsulfanylpyridin-3-yl)-(2-pyridin-4-ylpyrrolidin-1-yl)methanone,cid_paras is 60165658,Molecular_Weight is 327.4,XLogP3 is 3,Hydrogen_Bond_Donor_Count is 0,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 5,Exact_Mass is 327.14053348,Monoisotopic_Mass is 327.14053348,Topological_Polar_Surface_Area is 71.4,""Unit"":""Å²"",Heavy_Atom_Count is 23,Formal_Charge is 0,Complexity is 387,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
