smiles,Hepatobiliary disorders,Metabolism and nutrition disorders,Product issues,Eye disorders,Investigations,Musculoskeletal and connective tissue disorders,Gastrointestinal disorders,Social circumstances,Immune system disorders,Reproductive system and breast disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",General disorders and administration site conditions,Endocrine disorders,Surgical and medical procedures,Vascular disorders,Blood and lymphatic system disorders,Skin and subcutaneous tissue disorders,"Congenital, familial and genetic disorders",Infections and infestations,"Respiratory, thoracic and mediastinal disorders",Psychiatric disorders,Renal and urinary disorders,"Pregnancy, puerperium and perinatal conditions",Ear and labyrinth disorders,Cardiac disorders,Nervous system disorders,"Injury, poisoning and procedural complications",cid,compound_name,cid_paras,Molecular_Weight,XLogP3,Hydrogen_Bond_Donor_Count,Hydrogen_Bond_Acceptor_Count,Rotatable_Bond_Count,Exact_Mass,Monoisotopic_Mass,Topological_Polar_Surface_Area,Heavy_Atom_Count,Formal_Charge,Complexity,Isotope_Atom_Count,Defined_Atom_Stereocenter_Count,Undefined_Atom_Stereocenter_Count,Defined_Bond_Stereocenter_Count,Undefined_Bond_Stereocenter_Count,Covalently_Bonded_Unit_Count,Compound_Is_Canonicalized,Physical_Description,Color/Form,Odor,Boiling_Point,Melting_Point,Flash_Point,Solubility,Density,Description
C(CNCCNCCNCCN)N,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,8197,Tetraethylenepentamine,8197.0,189.3,-2.9,5.0,5.0,10.0,189.19534575,189.19534575,"88.1,""Unit"":""Å²""",13.0,0.0,78.6,0.0,0.0,0.0,0.0,0.0,1.0,Yes,"Tetraethylenepentamineappearsasaviscousliquid.Slightlylessdensethanwater.Vaporsheavierthanair.Corrosivetotheeyes,skin,mouth,throatandstomach.Vaporsirritatetheeyesandcorrosivetotheupperrespiratorytract.Vaporsmayirritatetheeyes.Flashpoint325°F."",""Markup"":[{""Start"":0,""Length"":22,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Tetraethylenepentamine"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8197""","VISCOUS,HYGROSCOPICLIQUID","AMMONIACAL;DIAGREEABLE,PENETRATING","644°Fat760mmHg(NTP,1992)","-40°F(NTP,1992)","325°F(NTP,1992)","greaterthanorequalto100mg/mLat72°F(NTP,1992)","0.998at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962","cid is 8197,compound_name is Tetraethylenepentamine,cid_paras is 8197,Molecular_Weight is 189.30,XLogP3 is -2.9,Hydrogen_Bond_Donor_Count is 5,Hydrogen_Bond_Acceptor_Count is 5,Rotatable_Bond_Count is 10,Exact_Mass is 189.19534575,Monoisotopic_Mass is 189.19534575,Topological_Polar_Surface_Area is 88.1,""Unit"":""Å²"",Heavy_Atom_Count is 13,Formal_Charge is 0,Complexity is 78.6,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Tetraethylenepentamineappearsasaviscousliquid.Slightlylessdensethanwater.Vaporsheavierthanair.Corrosivetotheeyes,skin,mouth,throatandstomach.Vaporsirritatetheeyesandcorrosivetotheupperrespiratorytract.Vaporsmayirritatetheeyes.Flashpoint325°F."",""Markup"":[{""Start"":0,""Length"":22,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/Tetraethylenepentamine"",""Type"":""PubChemInternalLink"",""Extra"":""CID-8197"",Color/Form is VISCOUS,HYGROSCOPICLIQUID,Odor is AMMONIACAL;DIAGREEABLE,PENETRATING,Boiling_Point is 644°Fat760mmHg(NTP,1992),Melting_Point is -40°F(NTP,1992),Flash_Point is 325°F(NTP,1992),Solubility is greaterthanorequalto100mg/mLat72°F(NTP,1992),Density is 0.998at68°F(USCG,1999)-Lessdensethanwater;willfloat"",""Markup"":[{""Start"":46,""Length"":5,""URL"":""https://pubchem.ncbi.nlm.nih.gov/compound/water"",""Type"":""PubChemInternalLink"",""Extra"":""CID-962"
CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,16220172,Ivacaftor,16220172.0,392.5,5.6,3.0,4.0,4.0,392.20999276,392.20999276,"78.4,""Unit"":""Å²""",29.0,0.0,671.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes,Solid,,,550.4,212-215,,low(<0.05µg/mL),,"cid is 16220172,compound_name is Ivacaftor,cid_paras is 16220172,Molecular_Weight is 392.5,XLogP3 is 5.6,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 4,Rotatable_Bond_Count is 4,Exact_Mass is 392.20999276,Monoisotopic_Mass is 392.20999276,Topological_Polar_Surface_Area is 78.4,""Unit"":""Å²"",Heavy_Atom_Count is 29,Formal_Charge is 0,Complexity is 671,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Solid,Boiling_Point is 550.4,Melting_Point is 212-215,Solubility is low(<0.05µg/mL)"
CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCC12CC(=C)C3C(C1CC[C@]2(C#C)O)CCC4=CC(=O)CCC34,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1C(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,114709,Licarbazepine,114709.0,254.28,1.4,2.0,2.0,0.0,254.105527694,254.105527694,"66.6,""Unit"":""Å²""",19.0,0.0,347.0,0.0,0.0,1.0,0.0,0.0,1.0,Yes,,,,,,,,,"cid is 114709,compound_name is Licarbazepine,cid_paras is 114709,Molecular_Weight is 254.28,XLogP3 is 1.4,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 2,Rotatable_Bond_Count is 0,Exact_Mass is 254.105527694,Monoisotopic_Mass is 254.105527694,Topological_Polar_Surface_Area is 66.6,""Unit"":""Å²"",Heavy_Atom_Count is 19,Formal_Charge is 0,Complexity is 347,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 1,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)NCC(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CN=CN2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,44146714,Insulin-glargine,44146714.0,6063.0,-14.1,85.0,92.0,191.0,6060.8251182,6058.8184085,"2590,""Unit"":""Å²""",423.0,0.0,15300.0,0.0,53.0,0.0,0.0,0.0,1.0,Yes,,,,,,,,,"cid is 44146714,compound_name is Insulin-glargine,cid_paras is 44146714,Molecular_Weight is 6063,XLogP3 is -14.1,Hydrogen_Bond_Donor_Count is 85,Hydrogen_Bond_Acceptor_Count is 92,Rotatable_Bond_Count is 191,Exact_Mass is 6060.8251182,Monoisotopic_Mass is 6058.8184085,Topological_Polar_Surface_Area is 2590,""Unit"":""Å²"",Heavy_Atom_Count is 423,Formal_Charge is 0,Complexity is 15300,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 53,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CC1CC2C3CCC4=CC(=O)C=CC4([C@]3(C(CC2([C@]1(C(=O)CCl)O)C)O)F)C,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,32797,"(9R,17R)-17-(2-chloroacetyl)-9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",32797.0,410.9,2.5,2.0,5.0,2.0,410.1660152,410.1660152,"74.6,""Unit"":""Å²""",28.0,0.0,808.0,0.0,2.0,6.0,0.0,0.0,1.0,Yes,,,,,,,,,"cid is 32797,compound_name is (9R,17R)-17-(2-chloroacetyl)-9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one,cid_paras is 32797,Molecular_Weight is 410.9,XLogP3 is 2.5,Hydrogen_Bond_Donor_Count is 2,Hydrogen_Bond_Acceptor_Count is 5,Rotatable_Bond_Count is 2,Exact_Mass is 410.1660152,Monoisotopic_Mass is 410.1660152,Topological_Polar_Surface_Area is 74.6,""Unit"":""Å²"",Heavy_Atom_Count is 28,Formal_Charge is 0,Complexity is 808,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 2,Undefined_Atom_Stereocenter_Count is 6,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
CCCCCCOC(=O)N=C(C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4)N,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,135565674,Dabigatran Etexilate,135565674.0,627.7,5.3,3.0,9.0,18.0,627.31691743,627.31691743,"152,""Unit"":""Å²""",46.0,0.0,991.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes,Solid,,,,132,,"1.8mg/ml,partlysoluble",,"cid is 135565674,compound_name is Dabigatran Etexilate,cid_paras is 135565674,Molecular_Weight is 627.7,XLogP3 is 5.3,Hydrogen_Bond_Donor_Count is 3,Hydrogen_Bond_Acceptor_Count is 9,Rotatable_Bond_Count is 18,Exact_Mass is 627.31691743,Monoisotopic_Mass is 627.31691743,Topological_Polar_Surface_Area is 152,""Unit"":""Å²"",Heavy_Atom_Count is 46,Formal_Charge is 0,Complexity is 991,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 0,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes,Physical_Description is Solid,Melting_Point is 132,Solubility is 1.8mg/ml,partlysoluble"
CSCCC(C(=O)NCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N)NC(=O)C(CC4=CC=C(C=C4)OS(=O)(=O)O)NC(=O)C(CC(=O)O)N,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,32800,H-DL-Asp-DL-Tyr(SO3H)-DL-Met-Gly-DL-Trp-DL-Met-DL-Asp-DL-Phe-NH2,32800.0,1143.3,-2.6,13.0,19.0,33.0,1142.35073945,1142.35073945,"486,""Unit"":""Å²""",78.0,0.0,2180.0,0.0,0.0,7.0,0.0,0.0,1.0,Yes,,,,,,,,,"cid is 32800,compound_name is H-DL-Asp-DL-Tyr(SO3H)-DL-Met-Gly-DL-Trp-DL-Met-DL-Asp-DL-Phe-NH2,cid_paras is 32800,Molecular_Weight is 1143.3,XLogP3 is -2.6,Hydrogen_Bond_Donor_Count is 13,Hydrogen_Bond_Acceptor_Count is 19,Rotatable_Bond_Count is 33,Exact_Mass is 1142.35073945,Monoisotopic_Mass is 1142.35073945,Topological_Polar_Surface_Area is 486,""Unit"":""Å²"",Heavy_Atom_Count is 78,Formal_Charge is 0,Complexity is 2180,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 7,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,8230,Argipressin tannate,8230.0,1084.2,-4.8,14.0,16.0,19.0,1083.43785492,1083.43785492,"515,""Unit"":""Å²""",75.0,0.0,2070.0,0.0,0.0,8.0,0.0,0.0,1.0,Yes,,,,,,,,,"cid is 8230,compound_name is Argipressin tannate,cid_paras is 8230,Molecular_Weight is 1084.2,XLogP3 is -4.8,Hydrogen_Bond_Donor_Count is 14,Hydrogen_Bond_Acceptor_Count is 16,Rotatable_Bond_Count is 19,Exact_Mass is 1083.43785492,Monoisotopic_Mass is 1083.43785492,Topological_Polar_Surface_Area is 515,""Unit"":""Å²"",Heavy_Atom_Count is 75,Formal_Charge is 0,Complexity is 2070,Isotope_Atom_Count is 0,Defined_Atom_Stereocenter_Count is 0,Undefined_Atom_Stereocenter_Count is 8,Defined_Bond_Stereocenter_Count is 0,Undefined_Bond_Stereocenter_Count is 0,Covalently_Bonded_Unit_Count is 1,Compound_Is_Canonicalized is Yes"
