NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,PubchemCID,pos
0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX3021,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,3295,5.551115123125783e-17 -1.2500000000026379e-05 6.938893903907228e-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX3020,CCN1C(=O)NC(c2ccccc2)C1=O,3292,1.3333333333302259e-05 2.960594732333751e-17 -6.666666666628925e-06
,,,,,,,0.0,,0.0,,,TOX3024,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,13765,-9.523809523660445e-06 4.761904761893664e-06 -4.761904761925384e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX3027,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,37497,-4.4408920985006264e-17 4.999999999999449e-06 -3.469446951953614e-18
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX3028,CC(O)(P(=O)(O)O)P(=O)(O)O,3305,9.090909090841223e-06 -6.055761952500853e-17 -3.027880976250427e-17
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX3028,CC(O)(P(=O)(O)O)P(=O)(O)O,3305,9.090909090841223e-06 -6.055761952500853e-17 -3.027880976250427e-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX5110,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,6545,4.999999999988347e-06 0.0 -5.000000000002225e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6619,O=S(=O)(Cl)c1ccccc1,7369,0.0 3.4694469519536144e-19 1.0000000000001675e-05
0.0,,0.0,,1.0,,,1.0,0.0,1.0,0.0,1.0,TOX25232,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,5803,8.458842092382145e-17 9.523809523819049e-06 -4.761904761883214e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22514,OC[C@H](O)[C@@H](O)[C@H](O)CO,6912,-9.999999999976694e-06 -5.551115123125783e-18 9.999999999998898e-06
,,,,,,,0.0,,0.0,,,TOX22517,CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],11180,
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,TOX25236,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,5892,4.5454545453026505e-06 -2.2727272727270225e-06 4.545454545484324e-06
0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25238,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,5905,5.882352941188884e-06 -5.882352941157353e-06 -1.1764705882341849e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6612,CC(C)COC(=O)C(C)C,7351,-1.9999999999997796e-05 1.6653345369377347e-17 9.999999999987797e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,7355,7.142857142840496e-06 -3.172065784643304e-17 -7.142857142853878e-06
0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,,TOX15748,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,0,
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TOX14833,O=C([O-])Cc1cccc2ccccc12,4583824,0.0 7.142857142840496e-06 7.1428571428722165e-06
0.0,0.0,0.0,,0.0,,,,,0.0,,,TOX26529,CCCCCCCCCCOCC(O)CN,68805,-6.2499999998189e-06 -6.249999999995842e-06 -6.249999999997143e-06
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,TOX26524,CCN(CC)C(=O)c1cccnc1,5497,-2.3076923076869296e-05 7.692307692256672e-06 1.2810265668751807e-17
0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,TOX26525,COc1cc(O)cc(O)c1,71648,-9.999999999932286e-06 9.999999999992245e-06 -1e-05
,,,,,,,0.0,,0.0,,,TOX26526,CCOC(=O)c1cccnc1,69188,0.0 -2.0185873175002847e-17 1.9712766772463718e-20
0.0,0.0,,0.0,1.0,1.0,0.0,,0.0,,0.0,0.0,TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12,23674,1.1764705882430013e-05 -1.1764705882371238e-05 6.530723674265627e-18
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX26523,O=C(O)[C@H](O)c1ccccc1,11914,-9.090909090847532e-06 9.090909090943415e-06 -9.09090909090809e-06
0.0,0.0,1.0,,1.0,0.0,,1.0,1.0,0.0,,0.0,TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1,0,
0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,,,TOX22631,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,126280,-5.2631578948414415e-06 -1.0526315789477272e-05 -5.263157894711064e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,671690,4.999999999588667e-06 1.6653345369377347e-17 -9.999999999985281e-06
0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,2801,9.090909090817254e-06 4.0371746350005693e-17 4.5454545454742306e-06
0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,2801,9.090909090817254e-06 4.0371746350005693e-17 4.5454545454742306e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1883,C#CCO,0,
